primary_label;secondary_labels;type;latitude;longitude;scientific_name;common_name;author;license;rating;url;filename
asbfly;[];['call'];392.297;1.181.987;Muscicapa dauurica;Asian Brown Flycatcher;Matt Slaymaker;Creative Commons Attribution-NonCommercial-ShareAlike 3.0;5.0;https://www.xeno-canto.org/134896;asbfly/XC134896.ogg
asbfly;[];['song'];51.403;1.046.401;Muscicapa dauurica;Asian Brown Flycatcher;Magnus Hellström;Creative Commons Attribution-NonCommercial-ShareAlike 3.0;2.5;https://www.xeno-canto.org/164848;asbfly/XC164848.ogg
asbfly;[];['song'];363.319;1.273.555;Muscicapa dauurica;Asian Brown Flycatcher;Stuart Fisher;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;2.5;https://www.xeno-canto.org/175797;asbfly/XC175797.ogg
asbfly;[];['call'];211.697;706.005;Muscicapa dauurica;Asian Brown Flycatcher;vir joshi;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/207738;asbfly/XC207738.ogg
asbfly;[];['call'];155.442;737.733;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin & Sergei Karpeev;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/209218;asbfly/XC209218.ogg
asbfly;[];['call'];155.442;737.733;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin & Sergei Karpeev;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/209219;asbfly/XC209219.ogg
asbfly;[];['clicks its bill'];425.275;130.692;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/267679;asbfly/XC267679.ogg
asbfly;[];['call', 'male', 'song'];443.602;1.327.989;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/267680;asbfly/XC267680.ogg
asbfly;[];['call', 'male', 'song'];443.602;1.327.989;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/267681;asbfly/XC267681.ogg
asbfly;[];['alarm call'];425.275;130.692;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/267682;asbfly/XC267682.ogg
asbfly;[];['call'];437.953;1.325.283;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.5;https://www.xeno-canto.org/267683;asbfly/XC267683.ogg
asbfly;[];['call'];101.653;765.476;Muscicapa dauurica;Asian Brown Flycatcher;Dilip KG;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/291450;asbfly/XC291450.ogg
asbfly;[];['call'];202.864;1.000.577;Muscicapa dauurica;Asian Brown Flycatcher;Woraphot Bunkhwamdi;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/305518;asbfly/XC305518.ogg
asbfly;[];['call'];437.953;1.325.283;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/309402;asbfly/XC309402.ogg
asbfly;[];['call'];210.416;1.058.317;Muscicapa dauurica;Asian Brown Flycatcher;nick talbot;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/312456;asbfly/XC312456.ogg
asbfly;[];['song'];212.009;940.341;Muscicapa dauurica;Asian Brown Flycatcher;Oscar Campbell;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;4.0;https://www.xeno-canto.org/313835;asbfly/XC313835.ogg
asbfly;[];['song'];498.699;1.276.447;Muscicapa dauurica;Asian Brown Flycatcher;Alex Thomas;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.5;https://www.xeno-canto.org/329259;asbfly/XC329259.ogg
asbfly;[];['song'];437.953;1.325.283;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin & Vladimir Sotnikov;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.5;https://www.xeno-canto.org/341611;asbfly/XC341611.ogg
asbfly;[];['song'];437.953;1.325.283;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin & Vladimir Sotnikov;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.5;https://www.xeno-canto.org/341612;asbfly/XC341612.ogg
asbfly;[];['song'];425.275;130.692;Muscicapa dauurica;Asian Brown Flycatcher;Albert Lastukhin & Vladimir Sotnikov;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/342037;asbfly/XC342037.ogg
asbfly;[];['song'];13.481;1.037.766;Muscicapa dauurica;Asian Brown Flycatcher;Yeo SB;Creative Commons Attribution-NonCommercial-ShareAlike 4.0;3.0;https://www.xeno-canto.org/342638;asbfly/XC342638.ogg
